primaryIdentifier,symbol,name,description,chr,start,end,n_go,go_terms
Zm00031ab329490,,,PSI-G,chr7,135533022,135534053,11,GO:0005515 | protein binding | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006740 | NADPH regeneration | biological_process; GO:0009522 | photosystem I | cellular_component; GO:0009535 | chloroplast thylakoid membrane | cellular_component; GO:0009941 | chloroplast envelope | cellular_component; GO:0015979 | photosynthesis | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0022900 | electron transport chain | biological_process; GO:0042550 | photosystem I stabilization | biological_process; GO:0050821 | protein stabilization | biological_process
Zm00023ab326350,,,Zinc finger protein WIP2,chr7,135533167,135538609,4,GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006355 | regulation of DNA-templated transcription | biological_process; GO:0048856 | anatomical structure development | biological_process
Zm00026ab320580,,,Transcription factor bHLH130,chr7,135533661,135537931,5,"GO:0000978 | RNA polymerase II cis-regulatory region sequence-specific DNA binding | molecular_function; GO:0000981 | DNA-binding transcription factor activity, RNA polymerase II-specific | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006357 | regulation of transcription by RNA polymerase II | biological_process; GO:0046983 | protein dimerization activity | molecular_function"
Zm00027ab322250,,,60S ribosomal protein L32-1,chr7,135534609,135536591,18,"GO:0000176 | nuclear exosome (RNase complex) | cellular_component; GO:0000177 | cytoplasmic exosome (RNase complex) | cellular_component; GO:0000467 | exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) | biological_process; GO:0003735 | structural constituent of ribosome | molecular_function; GO:0005829 | cytosol | cellular_component; GO:0005840 | ribosome | cellular_component; GO:0006412 | translation | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0034427 | nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5' | biological_process; GO:0034473 | U1 snRNA 3'-end processing | biological_process; GO:0034475 | U4 snRNA 3'-end processing | biological_process; GO:0034476 | U5 snRNA 3'-end processing | biological_process; GO:0043928 | exonucleolytic catabolism of deadenylated mRNA | biological_process; GO:0071028 | nuclear mRNA surveillance | biological_process; GO:0071035 | nuclear polyadenylation-dependent rRNA catabolic process | biological_process; GO:0071038 | nuclear polyadenylation-dependent tRNA catabolic process | biological_process; GO:0071042 | nuclear polyadenylation-dependent mRNA catabolic process | biological_process; GO:1990904 | ribonucleoprotein complex | cellular_component"
Zm00042ab331350,,,Putative receptor protein kinase,chr7,135538456,135543873,5,GO:0004672 | protein kinase activity | molecular_function; GO:0005524 | ATP binding | molecular_function; GO:0005886 | plasma membrane | cellular_component; GO:0006468 | protein phosphorylation | biological_process; GO:0016021 | integral component of membrane | cellular_component
Zm00029ab332160,,,ETHYLENE INSENSITIVE 3-like 3 protein,chr7,135538943,135541967,5,GO:0003677 | DNA binding | molecular_function; GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006355 | regulation of DNA-templated transcription | biological_process; GO:0009873 | ethylene-activated signaling pathway | biological_process
Zm00036ab326520,,,Stress associated protein,chr7,135540451,135541146,7,GO:0003677 | DNA binding | molecular_function; GO:0004842 | ubiquitin-protein transferase activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006970 | response to osmotic stress | biological_process; GO:0008270 | zinc ion binding | molecular_function; GO:0009414 | response to water deprivation | biological_process; GO:0016567 | protein ubiquitination | biological_process
Zm00027ab322260,,,Transcription factor bHLH62,chr7,135540470,135543150,4,GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006355 | regulation of DNA-templated transcription | biological_process; GO:0046983 | protein dimerization activity | molecular_function
Zm00025ab329580,,,KID-containing protein,chr7,135540866,135542462,3,GO:0016021 | integral component of membrane | cellular_component; GO:0016301 | kinase activity | molecular_function; GO:0016310 | phosphorylation | biological_process
Zm00021ab322590,,,Ribosome biogenesis protein slx9,chr7,135543645,135544376,4,"GO:0000462 | maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) | biological_process; GO:0005730 | nucleolus | cellular_component; GO:0030686 | 90S preribosome | cellular_component; GO:0030688 | preribosome, small subunit precursor | cellular_component"
Zm00039ab323830,,,protein Iojap,chr7,135546321,135554747,5,GO:0000427 | plastid-encoded plastid RNA polymerase complex | cellular_component; GO:0017148 | negative regulation of translation | biological_process; GO:0042644 | chloroplast nucleoid | cellular_component; GO:0043023 | ribosomal large subunit binding | molecular_function; GO:0090071 | negative regulation of ribosome biogenesis | biological_process
Zm00025ab329610,,,Aquaporin SIP1-1,chr7,135547789,135548097,3,GO:0006833 | water transport | biological_process; GO:0015250 | water channel activity | molecular_function; GO:0016021 | integral component of membrane | cellular_component
Zm00042ab331360,,,Heavy metal-associated isoprenylated plant protein 41,chr7,135547874,135551134,7,GO:0000976 | transcription cis-regulatory region binding | molecular_function; GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0045893 | positive regulation of DNA-templated transcription | biological_process; GO:0070042 | rRNA (uridine-N3-)-methyltransferase activity | molecular_function; GO:0070475 | rRNA base methylation | biological_process
Zm00029ab332170,,,,chr7,135548821,135549553,1,GO:0016021 | integral component of membrane | cellular_component
Zm00029ab332180,,,Squamosa promoter-binding-like protein 17,chr7,135549560,135553354,6,GO:0003677 | DNA binding | molecular_function; GO:0003735 | structural constituent of ribosome | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0016021 | integral component of membrane | cellular_component; GO:0046872 | metal ion binding | molecular_function; GO:0070181 | small ribosomal subunit rRNA binding | molecular_function
Zm00041ab330000,,,Splicing factor U2af small subunit A,chr7,135555314,135556902,6,"GO:0000398 | mRNA splicing, via spliceosome | biological_process; GO:0003677 | DNA binding | molecular_function; GO:0003723 | RNA binding | molecular_function; GO:0005681 | spliceosomal complex | cellular_component; GO:0046872 | metal ion binding | molecular_function; GO:0089701 | U2AF complex | cellular_component"
Zm00039ab323840,,,Pentatricopeptide repeat-containing protein mitochondrial,chr7,135556812,135559961,4,GO:0003677 | DNA binding | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006355 | regulation of DNA-templated transcription | biological_process; GO:0016021 | integral component of membrane | cellular_component
Zm00019ab304610,,,Sodium/hydrogen exchanger,chr7,135558102,135567530,12,GO:0005768 | endosome | cellular_component; GO:0005886 | plasma membrane | cellular_component; GO:0006885 | regulation of pH | biological_process; GO:0015385 | sodium:proton antiporter activity | molecular_function; GO:0015386 | potassium:proton antiporter activity | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0030004 | cellular monovalent inorganic cation homeostasis | biological_process; GO:0035725 | sodium ion transmembrane transport | biological_process; GO:0071805 | potassium ion transmembrane transport | biological_process; GO:0098656 | anion transmembrane transport | biological_process; GO:0098659 | inorganic cation import across plasma membrane | biological_process; GO:1902600 | proton transmembrane transport | biological_process
Zm00027ab322270,,,60S ribosomal protein L32-1,chr7,135559725,135561666,18,"GO:0000176 | nuclear exosome (RNase complex) | cellular_component; GO:0000177 | cytoplasmic exosome (RNase complex) | cellular_component; GO:0000467 | exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) | biological_process; GO:0003735 | structural constituent of ribosome | molecular_function; GO:0005829 | cytosol | cellular_component; GO:0005840 | ribosome | cellular_component; GO:0006412 | translation | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0034427 | nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5' | biological_process; GO:0034473 | U1 snRNA 3'-end processing | biological_process; GO:0034475 | U4 snRNA 3'-end processing | biological_process; GO:0034476 | U5 snRNA 3'-end processing | biological_process; GO:0043928 | exonucleolytic catabolism of deadenylated mRNA | biological_process; GO:0071028 | nuclear mRNA surveillance | biological_process; GO:0071035 | nuclear polyadenylation-dependent rRNA catabolic process | biological_process; GO:0071038 | nuclear polyadenylation-dependent tRNA catabolic process | biological_process; GO:0071042 | nuclear polyadenylation-dependent mRNA catabolic process | biological_process; GO:1990904 | ribonucleoprotein complex | cellular_component"
Zm00039ab323850,,,Editing factor,chr7,135560462,135562777,16,"GO:0004519 | endonuclease activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0005739 | mitochondrion | cellular_component; GO:0006400 | tRNA modification | biological_process; GO:0008168 | methyltransferase activity | molecular_function; GO:0008422 | beta-glucosidase activity | molecular_function; GO:0009251 | glucan catabolic process | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0032259 | methylation | biological_process; GO:0032508 | DNA duplex unwinding | biological_process; GO:0044260 | cellular macromolecule metabolic process | biological_process; GO:0070013 | intracellular organelle lumen | cellular_component; GO:0080156 | mitochondrial mRNA modification | biological_process; GO:0090305 | nucleic acid phosphodiester bond hydrolysis | biological_process; GO:0140640 | catalytic activity, acting on a nucleic acid | molecular_function; GO:0140657 | ATP-dependent activity | molecular_function"
Zm00041ab330010,,,Putative wall-associated receptor kinase-like 16,chr7,135560695,135563590,8,GO:0004674 | protein serine/threonine kinase activity | molecular_function; GO:0005509 | calcium ion binding | molecular_function; GO:0005524 | ATP binding | molecular_function; GO:0005886 | plasma membrane | cellular_component; GO:0006468 | protein phosphorylation | biological_process; GO:0007166 | cell surface receptor signaling pathway | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0030247 | polysaccharide binding | molecular_function
100191909,LOC100191909,LOC100191909,uncharacterized LOC100191909,chr7,135561519,135569328,3,GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0006351 | DNA-templated transcription | biological_process; GO:0046983 | protein dimerization activity | molecular_function
Zm00001eb315910,,,Transcription factor BIM3,chr7,135561571,135569525,6,GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006351 | DNA-templated transcription | biological_process; GO:0006355 | regulation of DNA-templated transcription | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0046983 | protein dimerization activity | molecular_function
Zm00027ab322280,,,Peptidylprolyl isomerase,chr7,135561940,135566195,8,GO:0000413 | protein peptidyl-prolyl isomerization | biological_process; GO:0003755 | peptidyl-prolyl cis-trans isomerase activity | molecular_function; GO:0005783 | endoplasmic reticulum | cellular_component; GO:0005829 | cytosol | cellular_component; GO:0016021 | integral component of membrane | cellular_component; GO:0061077 | chaperone-mediated protein folding | biological_process; GO:0070013 | intracellular organelle lumen | cellular_component; GO:0099503 | secretory vesicle | cellular_component
Zm00039ab323860,,,Chaperone protein dnaJ 10,chr7,135564689,135572085,3,GO:0005783 | endoplasmic reticulum | cellular_component; GO:0016021 | integral component of membrane | cellular_component; GO:0016405 | CoA-ligase activity | molecular_function
Zm00038ab324860,,,SWIB/MDM2 domain-containing protein,chr7,135564829,135569418,1,GO:0005634 | nucleus | cellular_component
Zm00041ab330030,,,Heat shock protein 70 (Hsp 70) family protein,chr7,135567139,135567438,2,GO:0005524 | ATP binding | molecular_function; GO:0016887 | ATP hydrolysis activity | molecular_function
Zm00023ab326360,,,PRELI/MSF1 domain-containing protein,chr7,135568072,135569210,5,GO:0005758 | mitochondrial intermembrane space | cellular_component; GO:0015914 | phospholipid transport | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0120009 | intermembrane lipid transfer | biological_process; GO:1990050 | phosphatidic acid transfer activity | molecular_function
Zm00035ab329170,,,Pentatricopeptide,chr7,135570244,135574501,2,GO:0008270 | zinc ion binding | molecular_function; GO:0016787 | hydrolase activity | molecular_function
Zm00038ab324870,,,Putative mitochondrial adenine nucleotide transporter BTL1,chr7,135570816,135574873,5,GO:0015711 | organic anion transport | biological_process; GO:0015748 | organophosphate ester transport | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0055085 | transmembrane transport | biological_process; GO:0071705 | nitrogen compound transport | biological_process
Zm00001eb315920,,,O-fucosyltransferase family protein,chr7,135571191,135574387,5,GO:0005509 | calcium ion binding | molecular_function; GO:0005737 | cytoplasm | cellular_component; GO:0006004 | fucose metabolic process | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016740 | transferase activity | molecular_function
100384451,LOC100384451,LOC100384451,uncharacterized LOC100384451,chr7,135571248,135575511,2,GO:0006004 | fucose metabolic process | biological_process; GO:0016740 | transferase activity | molecular_function
Zm00023ab326370,,,Stress associated protein,chr7,135571814,135572976,7,GO:0003677 | DNA binding | molecular_function; GO:0004842 | ubiquitin-protein transferase activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006970 | response to osmotic stress | biological_process; GO:0008270 | zinc ion binding | molecular_function; GO:0009414 | response to water deprivation | biological_process; GO:0016567 | protein ubiquitination | biological_process
Zm00031ab329500,,,WPP domain-interacting protein 2,chr7,135573827,135577030,1,GO:0016021 | integral component of membrane | cellular_component
Zm00034ab338950,,,Proton pump-interactor 1,chr7,135575274,135581576,1,GO:0016021 | integral component of membrane | cellular_component
100285233,LOC100285233,LOC100285233,uncharacterized LOC100285233,chr7,135575907,135584862,2,GO:0004252 | serine-type endopeptidase activity | molecular_function; GO:0006508 | proteolysis | biological_process
Zm00001eb315930,,,Prolyl endopeptidase,chr7,135577487,135582075,3,GO:0004252 | serine-type endopeptidase activity | molecular_function; GO:0006508 | proteolysis | biological_process; GO:0009507 | chloroplast | cellular_component
Zm00020ab321860,,,30S ribosomal protein S16-2,chr7,135580478,135588736,5,GO:0003735 | structural constituent of ribosome | molecular_function; GO:0005840 | ribosome | cellular_component; GO:0006412 | translation | biological_process; GO:0009507 | chloroplast | cellular_component; GO:1990904 | ribonucleoprotein complex | cellular_component
Zm00001eb315940,,,Protease 2,chr7,135582763,135584886,3,GO:0004252 | serine-type endopeptidase activity | molecular_function; GO:0006508 | proteolysis | biological_process; GO:0016021 | integral component of membrane | cellular_component
Zm00034ab338960,,,Cysteine/Histidine-rich C1 domain family protein,chr7,135583075,135583884,4,GO:0016301 | kinase activity | molecular_function; GO:0016310 | phosphorylation | biological_process; GO:0035556 | intracellular signal transduction | biological_process; GO:0046872 | metal ion binding | molecular_function
Zm00037ab321200,,,Epimerase domain-containing protein,chr7,135584406,135589814,3,"GO:0003824 | catalytic activity | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0016616 | oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor | molecular_function"
Zm00035ab329200,,,,chr7,135589528,135589914,2,"GO:0016021 | integral component of membrane | cellular_component; GO:0016747 | acyltransferase activity, transferring groups other than amino-acyl groups | molecular_function"
Zm00034ab338970,,,,chr7,135591340,135592518,3,GO:0004674 | protein serine/threonine kinase activity | molecular_function; GO:0006468 | protein phosphorylation | biological_process; GO:0035556 | intracellular signal transduction | biological_process
Zm00018ab332590,,,protein Iojap,chr7,135597548,135603395,5,GO:0000427 | plastid-encoded plastid RNA polymerase complex | cellular_component; GO:0017148 | negative regulation of translation | biological_process; GO:0042644 | chloroplast nucleoid | cellular_component; GO:0043023 | ribosomal large subunit binding | molecular_function; GO:0090071 | negative regulation of ribosome biogenesis | biological_process
Zm00036ab326530,,,Serine/threonine-protein kinase UCNL,chr7,135598871,135600692,7,GO:0003735 | structural constituent of ribosome | molecular_function; GO:0004674 | protein serine/threonine kinase activity | molecular_function; GO:0005524 | ATP binding | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0005886 | plasma membrane | cellular_component; GO:0006468 | protein phosphorylation | biological_process
Zm00033ab336160,,,Eukaryotic translation initiation factor 3 subunit C,chr7,135599859,135602853,9,GO:0000502 | proteasome complex | cellular_component; GO:0001732 | formation of cytoplasmic translation initiation complex | biological_process; GO:0003743 | translation initiation factor activity | molecular_function; GO:0005852 | eukaryotic translation initiation factor 3 complex | cellular_component; GO:0016021 | integral component of membrane | cellular_component; GO:0016282 | eukaryotic 43S preinitiation complex | cellular_component; GO:0016740 | transferase activity | molecular_function; GO:0031369 | translation initiation factor binding | molecular_function; GO:0033290 | eukaryotic 48S preinitiation complex | cellular_component
Zm00030ab318170,,,FAS1 domain-containing protein,chr7,135604116,135605558,4,GO:0005886 | plasma membrane | cellular_component; GO:0009834 | plant-type secondary cell wall biogenesis | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0031225 | anchored component of membrane | cellular_component
Zm00024ab322970,,,Putative receptor protein kinase,chr7,135604360,135608401,5,GO:0004672 | protein kinase activity | molecular_function; GO:0005524 | ATP binding | molecular_function; GO:0005886 | plasma membrane | cellular_component; GO:0006468 | protein phosphorylation | biological_process; GO:0016021 | integral component of membrane | cellular_component
Zm00041ab330040,,,Epimerase domain-containing protein,chr7,135604818,135606925,2,"GO:0016021 | integral component of membrane | cellular_component; GO:0016616 | oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor | molecular_function"
Zm00018ab332600,,,Pentatricopeptide repeat-containing protein mitochondrial,chr7,135604966,135608113,3,GO:0003677 | DNA binding | molecular_function; GO:0006355 | regulation of DNA-templated transcription | biological_process; GO:0016021 | integral component of membrane | cellular_component
Zm00021ab322600,,,Harpin-induced protein 1 containing protein,chr7,135605706,135606173,4,GO:0009506 | plasmodesma | cellular_component; GO:0016021 | integral component of membrane | cellular_component; GO:0046658 | anchored component of plasma membrane | cellular_component; GO:0098542 | defense response to other organism | biological_process
Zm00021ab322610,LOC103632943,,Proton pump-interactor 1,chr7,135607284,135613915,1,GO:0016021 | integral component of membrane | cellular_component
Zm00018ab332610,,,Editing factor,chr7,135608807,135611040,14,"GO:0003678 | DNA helicase activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0005739 | mitochondrion | cellular_component; GO:0006400 | tRNA modification | biological_process; GO:0008168 | methyltransferase activity | molecular_function; GO:0008422 | beta-glucosidase activity | molecular_function; GO:0009251 | glucan catabolic process | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0032259 | methylation | biological_process; GO:0032508 | DNA duplex unwinding | biological_process; GO:0044260 | cellular macromolecule metabolic process | biological_process; GO:0070013 | intracellular organelle lumen | cellular_component; GO:0080156 | mitochondrial mRNA modification | biological_process; GO:0140101 | catalytic activity, acting on a tRNA | molecular_function"
Zm00041ab330050,,,Epimerase domain-containing protein,chr7,135611229,135613011,1,"GO:0016616 | oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor | molecular_function"
Zm00024ab322980,,,Heavy metal-associated isoprenylated plant protein 41,chr7,135613793,135616954,7,GO:0000976 | transcription cis-regulatory region binding | molecular_function; GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0045893 | positive regulation of DNA-templated transcription | biological_process; GO:0070042 | rRNA (uridine-N3-)-methyltransferase activity | molecular_function; GO:0070475 | rRNA base methylation | biological_process
Zm00029ab332190,,,Polygalacturonase inhibitor 1,chr7,135617434,135618735,9,"GO:0005634 | nucleus | cellular_component; GO:0005829 | cytosol | cellular_component; GO:0005886 | plasma membrane | cellular_component; GO:0006464 |  | ; GO:0016301 | kinase activity | molecular_function; GO:0016310 | phosphorylation | biological_process; GO:0016773 | phosphotransferase activity, alcohol group as acceptor | molecular_function; GO:0043248 | proteasome assembly | biological_process; GO:0140096 | catalytic activity, acting on a protein | molecular_function"
Zm00042ab331370,,,Heavy metal-associated isoprenylated plant protein 41,chr7,135618164,135623516,7,GO:0000976 | transcription cis-regulatory region binding | molecular_function; GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0045893 | positive regulation of DNA-templated transcription | biological_process; GO:0070042 | rRNA (uridine-N3-)-methyltransferase activity | molecular_function; GO:0070475 | rRNA base methylation | biological_process
Zm00020ab321870,,,DAO domain-containing protein,chr7,135625531,135628323,2,GO:0008115 | sarcosine oxidase activity | molecular_function; GO:0016021 | integral component of membrane | cellular_component
Zm00031ab329510,,,WRKY domain-containing protein,chr7,135625575,135629539,4,GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006355 | regulation of DNA-templated transcription | biological_process; GO:0043565 | sequence-specific DNA binding | molecular_function
Zm00039ab323880,,,Methyl binding domain111,chr7,135626975,135631081,4,GO:0003677 | DNA binding | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0008270 | zinc ion binding | molecular_function; GO:0019899 | enzyme binding | molecular_function
Zm00033ab336180,,,PREDICTED,chr7,135628332,135633232,4,GO:0000786 | nucleosome | cellular_component; GO:0003677 | DNA binding | molecular_function; GO:0005886 | plasma membrane | cellular_component; GO:0046982 | protein heterodimerization activity | molecular_function
Zm00037ab321210,,,Epimerase domain-containing protein,chr7,135628418,135631236,1,"GO:0016616 | oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor | molecular_function"
Zm00033ab336200,,,IRK-interacting protein,chr7,135631980,135634982,1,GO:0006457 | protein folding | biological_process
Zm00036ab326540,,,Dilute domain-containing protein (Fragment),chr7,135636501,135642076,2,GO:0005643 | nuclear pore | cellular_component; GO:0016021 | integral component of membrane | cellular_component
Zm00021ab322620,,,Cysteine/Histidine-rich C1 domain family protein,chr7,135638254,135639090,4,GO:0016301 | kinase activity | molecular_function; GO:0016310 | phosphorylation | biological_process; GO:0035556 | intracellular signal transduction | biological_process; GO:0046872 | metal ion binding | molecular_function
Zm00035ab329210,,,HAP5 subunit of HAP complex,chr7,135648859,135649959,8,"GO:0001228 | DNA-binding transcription activator activity, RNA polymerase II-specific | molecular_function; GO:0003677 | DNA binding | molecular_function; GO:0003887 | DNA-directed DNA polymerase activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0045944 | positive regulation of transcription by RNA polymerase II | biological_process; GO:0046982 | protein heterodimerization activity | molecular_function; GO:0071897 | DNA biosynthetic process | biological_process"
Zm00028ab325730,,,Putative sugar phosphate/phosphate translocator,chr7,135649700,135650504,5,GO:0005793 | endoplasmic reticulum-Golgi intermediate compartment | cellular_component; GO:0005801 | cis-Golgi network | cellular_component; GO:0015297 | antiporter activity | molecular_function; GO:0015786 | UDP-glucose transmembrane transport | biological_process; GO:0016021 | integral component of membrane | cellular_component
Zm00036ab326560,LOC100282589,,Polygalacturonaseprecursor,chr7,135651432,135653609,4,"GO:0004650 | polygalacturonase activity | molecular_function; GO:0005975 | carbohydrate metabolic process | biological_process; GO:0033917 | exo-poly-alpha-galacturonosidase activity | molecular_function; GO:0047911 | galacturan 1,4-alpha-galacturonidase activity | molecular_function"
Zm00035ab329220,,,BURP domain-containing protein,chr7,135652987,135654381,1,GO:0016021 | integral component of membrane | cellular_component
Zm00035ab329230,,,GPI-anchored protein LLG1,chr7,135656222,135657617,6,GO:0005515 | protein binding | molecular_function; GO:0005886 | plasma membrane | cellular_component; GO:0009536 | plastid | cellular_component; GO:0031224 | intrinsic component of membrane | cellular_component; GO:0045927 | positive regulation of growth | biological_process; GO:0090406 | pollen tube | cellular_component
Zm00034ab339000,,,Ternary complex factor-like,chr7,135656740,135661913,7,GO:0003723 | RNA binding | molecular_function; GO:0009451 | RNA modification | biological_process; GO:0010344 | seed oilbody biogenesis | biological_process; GO:0012511 | monolayer-surrounded lipid storage body | cellular_component; GO:0019915 | lipid storage | biological_process; GO:0043231 | intracellular membrane-bounded organelle | cellular_component; GO:0050826 | response to freezing | biological_process
Zm00035ab329240,,,PSI-G,chr7,135657902,135659068,11,GO:0005515 | protein binding | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006740 | NADPH regeneration | biological_process; GO:0009522 | photosystem I | cellular_component; GO:0009535 | chloroplast thylakoid membrane | cellular_component; GO:0015979 | photosynthesis | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0022900 | electron transport chain | biological_process; GO:0031969 | chloroplast membrane | cellular_component; GO:0042550 | photosystem I stabilization | biological_process; GO:0050821 | protein stabilization | biological_process
Zm00018ab332620,,,Chaperone protein dnaJ 10,chr7,135658665,135665408,2,GO:0016021 | integral component of membrane | cellular_component; GO:0016405 | CoA-ligase activity | molecular_function
Zm00001eb315950,,,Dof-type domain-containing protein,chr7,135661988,135662761,4,GO:0003677 | DNA binding | molecular_function; GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006355 | regulation of DNA-templated transcription | biological_process
100502239,LOC100502239,LOC100502239,uncharacterized LOC100502239,chr7,135662259,135663392,3,GO:0003677 | DNA binding | molecular_function; GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005634 | nucleus | cellular_component
Zm00034ab339010,,,Tetraketide alpha-pyrone reductase 1,chr7,135663267,135665100,4,"GO:0005783 | endoplasmic reticulum | cellular_component; GO:0016616 | oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor | molecular_function; GO:0048316 | seed development | biological_process; GO:0080110 | sporopollenin biosynthetic process | biological_process"
Zm00001eb315960,,,,chr7,135663922,135664554,1,GO:0016021 | integral component of membrane | cellular_component
Zm00034ab339020,,,Protein Iojap,chr7,135665319,135688631,5,GO:0000427 | plastid-encoded plastid RNA polymerase complex | cellular_component; GO:0017148 | negative regulation of translation | biological_process; GO:0042644 | chloroplast nucleoid | cellular_component; GO:0043023 | ribosomal large subunit binding | molecular_function; GO:0090071 | negative regulation of ribosome biogenesis | biological_process
Zm00032ab330830,,,,chr7,135667493,135677408,3,GO:0005634 | nucleus | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0005819 | spindle | cellular_component
Zm00026ab320600,,,Eukaryotic translation initiation factor 3 subunit C,chr7,135673753,135676747,8,GO:0000502 | proteasome complex | cellular_component; GO:0001732 | formation of cytoplasmic translation initiation complex | biological_process; GO:0003743 | translation initiation factor activity | molecular_function; GO:0005852 | eukaryotic translation initiation factor 3 complex | cellular_component; GO:0016282 | eukaryotic 43S preinitiation complex | cellular_component; GO:0016740 | transferase activity | molecular_function; GO:0031369 | translation initiation factor binding | molecular_function; GO:0033290 | eukaryotic 48S preinitiation complex | cellular_component
Zm00023ab326380,,,Serine/threonine-protein kinase UCNL,chr7,135674210,135676004,7,GO:0003735 | structural constituent of ribosome | molecular_function; GO:0004674 | protein serine/threonine kinase activity | molecular_function; GO:0005524 | ATP binding | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0005886 | plasma membrane | cellular_component; GO:0006468 | protein phosphorylation | biological_process
Zm00027ab322300,,,Glucan endo-1,chr7,135677932,135681881,7,"GO:0005634 | nucleus | cellular_component; GO:0005975 | carbohydrate metabolic process | biological_process; GO:0006260 | DNA replication | biological_process; GO:0009506 | plasmodesma | cellular_component; GO:0016740 | transferase activity | molecular_function; GO:0042973 | glucan endo-1,3-beta-D-glucosidase activity | molecular_function; GO:0046658 | anchored component of plasma membrane | cellular_component"
Zm00021ab322650,LOC100304293,,Ternary complex factor-like,chr7,135678080,135683217,7,GO:0003723 | RNA binding | molecular_function; GO:0009451 | RNA modification | biological_process; GO:0010344 | seed oilbody biogenesis | biological_process; GO:0012511 | monolayer-surrounded lipid storage body | cellular_component; GO:0019915 | lipid storage | biological_process; GO:0043231 | intracellular membrane-bounded organelle | cellular_component; GO:0050826 | response to freezing | biological_process
